address;source_location;insn;indent
0x1270;:0;ENDBR64;
0x1274;:0;PUSH	%R15;
0x13ce;:0;MOV	0x4c88(%RIP),%ESI;
0x13d4;:0;MOV	0x4c76(%RIP),%ECX;
0x13da;:0;MOV	0x4c74(%RIP),%EDX;
0x13e0;:0;MOV	%RAX,0x30(%RSP);
0x13e5;:0;MOV	0x4ca4(%RIP),%RAX;
0x13ec;:0;MOV	%ESI,0x54(%RSP);
0x13f0;:0;MOV	0x4c61(%RIP),%R12D;
0x13f7;:0;MOV	%RAX,0x58(%RSP);
0x13fc;:0;MOV	0x4c95(%RIP),%RAX;
0x1403;:0;MOV	%RAX,0x18(%RSP);
0x1408;:0;MOV	0x4c91(%RIP),%RAX;
0x140f;:0;MOV	%RAX,0x68(%RSP);
0x1414;:0;MOV	0x4c95(%RIP),%RAX;
0x141b;:0;MOV	%RAX,0x20(%RSP);
0x1420;:0;MOV	0x4c91(%RIP),%RAX;
0x1427;:0;MOV	%RAX,0x70(%RSP);
0x142c;:0;MOV	0x4c55(%RIP),%RAX;
0x1433;:0;MOV	%RAX,0x78(%RSP);
0x1438;:0;MOV	$0x1,%EAX;
0x143d;:0;ADD	%EAX,%EAX;(0) 
0x143f;:0;CMP	%EAX,%ESI;(0) 
0x1441;:0;JG	143d <main+0x1cd>;(0) 
0x1443;:0;MOV	0x54(%RSP),%EDI;
0x1447;:0;SUB	%EDX,%ECX;
0x1449;:0;MOV	%ECX,%R14D;
0x144c;:0;LEA	0x1(%RCX),%R13D;
0x1450;:0;TEST	%EDI,%EDI;
0x1452;:0;JLE	2207 <main+0xf97>;
0x1458;:0;PXOR	%XMM7,%XMM7;
0x145c;:0;MOV	0x68(%RSP),%RCX;
0x1461;:0;MOVQ	$0,0x38(%RSP);
0x146a;:0;XOR	%R15D,%R15D;
0x146d;:0;CVTSI2SD	%EAX,%XMM7;
0x1471;:0;MOV	%R14D,0x98(%RSP);
0x1479;:0;MOV	0x18(%RSP),%RAX;
0x147e;:0;MOV	%RCX,0x40(%RSP);
0x1483;:0;MOV	0x58(%RSP),%RBX;
0x1488;:0;MOV	%R12D,0x94(%RSP);
0x1490;:0;MOV	%EDI,%R12D;
0x1493;:0;MOV	%R13D,0x9c(%RSP);
0x149b;:0;MOV	%RAX,%R13;
0x149e;:0;MOVSD	%XMM7,(%RSP);
0x14a3;:0;MOVSD	0x3375(%RIP),%XMM7;
0x14ab;:0;MOVSD	%XMM7,0x60(%RSP);
0x14b1;:0;XOR	%R14D,%R14D;  (22) 
0x14b4;:0;NOPL	(%RAX);  (22) 
0x14b8;:0;MOVSD	0x4b80(%RIP),%XMM0;  (22) 
0x14c0;:0;MOV	%RBP,%RDI;  (22) 
0x14c3;:0;CALL	3c10 <_Z6randlcPdd>;  (22) 
0x14c8;:0;MOV	%RBP,%RDI;  (22) 
0x14cb;:0;MOVSD	%XMM0,0x10(%RSP);  (22) 
0x14d1;:0;MOVSD	0x4b67(%RIP),%XMM0;  (22) 
0x14d9;:0;CALL	3c10 <_Z6randlcPdd>;  (22) 
0x14de;:0;MULSD	(%RSP),%XMM0;  (22) 
0x14e3;:0;CVTTSD2SI	%XMM0,%EAX;  (22) 
0x14e7;:0;ADD	$0x1,%EAX;  (22) 
0x14ea;:0;CMP	%EAX,%R12D;  (22) 
0x14ed;:0;JL	14b8 <main+0x248>;  (22) 
0x14ef;:0;TEST	%R14D,%R14D;  (22) 
0x14f2;:0;JLE	1dcd <main+0xb5d>;  (22) 
0x14f8;:0;CMP	0xd0(%RSP),%EAX;  (22) 
0x14ff;:0;JE	14b8 <main+0x248>;  (22) 
0x1501;:0;CMP	$0x1,%R14D;  (22) 
0x1505;:0;JE	1def <main+0xb7f>;  (22) 
0x150b;:0;CMP	0xd4(%RSP),%EAX;  (22) 
0x1512;:0;JE	14b8 <main+0x248>;  (22) 
0x1514;:0;CMP	$0x2,%R14D;  (22) 
0x1518;:0;JE	1e31 <main+0xbc1>;  (22) 
0x151e;:0;CMP	0xd8(%RSP),%EAX;  (22) 
0x1525;:0;JE	14b8 <main+0x248>;  (22) 
0x1527;:0;CMP	$0x3,%R14D;  (22) 
0x152b;:0;JE	1e10 <main+0xba0>;  (22) 
0x1531;:0;CMP	0xdc(%RSP),%EAX;  (22) 
0x1538;:0;JE	14b8 <main+0x248>;  (22) 
0x153e;:0;CMP	$0x4,%R14D;  (22) 
0x1542;:0;JE	20cb <main+0xe5b>;  (22) 
0x1548;:0;CMP	0xe0(%RSP),%EAX;  (22) 
0x154f;:0;JE	14b8 <main+0x248>;  (22) 
0x1555;:0;CMP	$0x5,%R14D;  (22) 
0x1559;:0;JE	20aa <main+0xe3a>;  (22) 
0x155f;:0;CMP	0xe4(%RSP),%EAX;  (22) 
0x1566;:0;JE	14b8 <main+0x248>;  (22) 
0x156c;:0;CMP	$0x6,%R14D;  (22) 
0x1570;:0;JE	212e <main+0xebe>;  (22) 
0x1576;:0;CMP	0xe8(%RSP),%EAX;  (22) 
0x157d;:0;JE	14b8 <main+0x248>;  (22) 
0x1583;:0;CMP	$0x7,%R14D;  (22) 
0x1587;:0;JE	210d <main+0xe9d>;  (22) 
0x158d;:0;CMP	0xec(%RSP),%EAX;  (22) 
0x1594;:0;JE	14b8 <main+0x248>;  (22) 
0x159a;:0;CMP	$0x8,%R14D;  (22) 
0x159e;:0;JE	20ec <main+0xe7c>;  (22) 
0x15a4;:0;CMP	0xf0(%RSP),%EAX;  (22) 
0x15ab;:0;JE	14b8 <main+0x248>;  (22) 
0x15b1;:0;CMP	$0x9,%R14D;  (22) 
0x15b5;:0;JE	214f <main+0xedf>;  (22) 
0x15bb;:0;CMP	0xf4(%RSP),%EAX;  (22) 
0x15c2;:0;JE	14b8 <main+0x248>;  (22) 
0x15c8;:0;CMP	$0xa,%R14D;  (22) 
0x15cc;:0;JE	2191 <main+0xf21>;  (22) 
0x15d2;:0;CMP	0xf8(%RSP),%EAX;  (22) 
0x15d9;:0;JE	14b8 <main+0x248>;  (22) 
0x15df;:0;CMP	$0xc,%R14D;  (22) 
0x15e3;:0;JNE	2170 <main+0xf00>;  (22) 
0x15e9;:0;CMP	0xfc(%RSP),%EAX;  (22) 
0x15f0;:0;JE	14b8 <main+0x248>;  (22) 
0x15f6;:0;MOVSD	0x10(%RSP),%XMM7;  (22) 
0x15fc;:0;MOV	0xd0(%RSP),%R11D;  (22) 
0x1604;:0;ADD	$0x1,%R15D;  (22) 
0x1608;:0;MOV	%EAX,0x100(%RSP);  (22) 
0x160f;:0;MOVSD	%XMM7,0x170(%RSP);  (22) 
0x1618;:0;CMP	%R11D,%R15D;  (22) 
0x161b;:0;JE	1dbc <main+0xb4c>;  (22) 
0x1621;:0;MOVSD	0x110(%RSP),%XMM9;  (22) 
0x162b;:0;XOR	%EAX,%EAX;  (22) 
0x162d;:0;MOV	0xd4(%RSP),%R10D;  (22) 
0x1635;:0;MOVSD	%XMM9,0x110(%RSP);  (22) 
0x163f;:0;CMP	%R10D,%R15D;  (22) 
0x1642;:0;JE	1dab <main+0xb3b>;  (22) 
0x1648;:0;MOVSD	0x118(%RSP),%XMM8;  (22) 
0x1652;:0;MOV	0xd8(%RSP),%R9D;  (22) 
0x165a;:0;MOVSD	%XMM8,0x118(%RSP);  (22) 
0x1664;:0;CMP	%R9D,%R15D;  (22) 
0x1667;:0;JE	1d9b <main+0xb2b>;  (22) 
0x166d;:0;MOVSD	0x120(%RSP),%XMM7;  (22) 
0x1676;:0;MOV	0xdc(%RSP),%R8D;  (22) 
0x167e;:0;MOVSD	%XMM7,0x120(%RSP);  (22) 
0x1687;:0;CMP	%R8D,%R15D;  (22) 
0x168a;:0;JE	1d8b <main+0xb1b>;  (22) 
0x1690;:0;MOVSD	0x128(%RSP),%XMM6;  (22) 
0x1699;:0;MOVSD	%XMM6,0x128(%RSP);  (22) 
0x16a2;:0;MOV	0xe0(%RSP),%EDI;  (22) 
0x16a9;:0;CMP	%EDI,%R15D;  (22) 
0x16ac;:0;JE	1d79 <main+0xb09>;  (22) 
0x16b2;:0;MOVSD	0x130(%RSP),%XMM5;  (22) 
0x16bb;:0;MOVSD	%XMM5,0x130(%RSP);  (22) 
0x16c4;:0;MOV	0xe4(%RSP),%ESI;  (22) 
0x16cb;:0;CMP	%ESI,%R15D;  (22) 
0x16ce;:0;JE	1d67 <main+0xaf7>;  (22) 
0x16d4;:0;MOVSD	0x138(%RSP),%XMM4;  (22) 
0x16dd;:0;MOVSD	%XMM4,0x138(%RSP);  (22) 
0x16e6;:0;MOV	0xe8(%RSP),%ECX;  (22) 
0x16ed;:0;MOV	%ECX,0x28(%RSP);  (22) 
0x16f1;:0;CMP	%ECX,%R15D;  (22) 
0x16f4;:0;JE	1d55 <main+0xae5>;  (22) 
0x16fa;:0;MOVSD	0x140(%RSP),%XMM3;  (22) 
0x1703;:0;MOVSD	%XMM3,0x140(%RSP);  (22) 
0x170c;:0;MOV	0xec(%RSP),%EDX;  (22) 
0x1713;:0;MOV	%EDX,0x84(%RSP);  (22) 
0x171a;:0;CMP	%EDX,%R15D;  (22) 
0x171d;:0;JE	1d43 <main+0xad3>;  (22) 
0x1723;:0;MOVSD	0x148(%RSP),%XMM2;  (22) 
0x172c;:0;MOVSD	%XMM2,0x148(%RSP);  (22) 
0x1735;:0;MOV	0xf0(%RSP),%EDX;  (22) 
0x173c;:0;MOV	%EDX,0x88(%RSP);  (22) 
0x1743;:0;CMP	%EDX,%R15D;  (22) 
0x1746;:0;JE	1d31 <main+0xac1>;  (22) 
0x174c;:0;MOVSD	0x150(%RSP),%XMM1;  (22) 
0x1755;:0;MOVSD	%XMM1,0x150(%RSP);  (22) 
0x175e;:0;MOV	0xf4(%RSP),%EDX;  (22) 
0x1765;:0;MOV	%EDX,0x8c(%RSP);  (22) 
0x176c;:0;CMP	%EDX,%R15D;  (22) 
0x176f;:0;JE	1d1f <main+0xaaf>;  (22) 
0x1775;:0;MOVSD	0x158(%RSP),%XMM0;  (22) 
0x177e;:0;MOV	0xf8(%RSP),%EDX;  (22) 
0x1785;:0;MOV	0x100(%RSP),%ECX;  (22) 
0x178c;:0;MOVSD	%XMM0,0x158(%RSP);  (22) 
0x1795;:0;MOV	0xfc(%RSP),%R14D;  (22) 
0x179d;:0;MOV	%EDX,0x90(%RSP);  (22) 
0x17a4;:0;MOV	%ECX,0x10(%RSP);  (22) 
0x17a8;:0;CMP	%EDX,%R15D;  (22) 
0x17ab;:0;JE	1d00 <main+0xa90>;  (22) 
0x17b1;:0;MOVSD	0x3066(%RIP),%XMM10;  (22) 
0x17ba;:0;CMP	%R14D,%R15D;  (22) 
0x17bd;:0;JE	1cba <main+0xa4a>;  (22) 
0x17c3;:0;MOVSD	0x3054(%RIP),%XMM10;  (22) 
0x17cc;:0;CMP	%ECX,%R15D;  (22) 
0x17cf;:0;JE	1ccd <main+0xa5d>;  (22) 
0x17d5;:0;TEST	%EAX,%EAX;  (22) 
0x17d7;:0;JNE	1cd7 <main+0xa67>;  (22) 
0x17dd;:0;MOV	0x303c(%RIP),%RAX;  (22) 
0x17e4;:0;MOV	%R15D,0x104(%RSP);  (22) 
0x17ec;:0;MOVL	$0xe,0x80(%RSP);  (22) 
0x17f7;:0;MOV	%RAX,0x178(%RSP);  (22) 
0x17ff;:0;MOV	0x40(%RSP),%RAX;  (22) 
0x1804;:0;MOVL	$0xe,(%RAX);  (22) 
0x180a;:0;MOV	$0xe,%EAX;  (22) 
0x180f;:0;MOV	0x38(%RSP),%RDX;  (22) 
0x1814;:0;ADD	%RDX,%RAX;  (22) 
0x1817;:0;MOV	0x18(%RSP),%RDX;  (22) 
0x181c;:0;LEA	(%RDX,%RAX,4),%RDX;  (22) 
0x1820;:0;CMP	%RDX,%RBX;  (22) 
0x1823;:0;JAE	1c32 <main+0x9c2>;  (22) 
0x1829;:0;MOV	0x58(%RSP),%RDX;  (22) 
0x182e;:0;LEA	(%RDX,%RAX,8),%RAX;  (22) 
0x1832;:0;CMP	%RAX,%R13;  (22) 
0x1835;:0;JAE	1c32 <main+0x9c2>;  (22) 
0x183b;:0;MOV	0x28(%RSP),%ECX;  (22) 
0x183f;:0;SUB	$0x1,%R11D;  (22) 
0x1843;:0;SUB	$0x1,%R10D;  (22) 
0x1847;:0;SUB	$0x1,%R9D;  (22) 
0x184b;:0;SUB	$0x1,%R8D;  (22) 
0x184f;:0;SUB	$0x1,%EDI;  (22) 
0x1852;:0;SUB	$0x1,%ESI;  (22) 
0x1855;:0;MOV	%R11D,(%R13);  (22) 
0x1859;:0;MOV	0x84(%RSP),%EAX;  (22) 
0x1860;:0;SUB	$0x1,%ECX;  (22) 
0x1863;:0;MOVSD	%XMM9,(%RBX);  (22) 
0x1868;:0;MOV	%R10D,0x4(%R13);  (22) 
0x186c;:0;SUB	$0x1,%EAX;  (22) 
0x186f;:0;MOVSD	%XMM8,0x8(%RBX);  (22) 
0x1875;:0;MOV	%R9D,0x8(%R13);  (22) 
0x1879;:0;MOVSD	%XMM7,0x10(%RBX);  (22) 
0x187e;:0;MOV	%R8D,0xc(%R13);  (22) 
0x1882;:0;MOVSD	%XMM6,0x18(%RBX);  (22) 
0x1887;:0;MOV	%EDI,0x10(%R13);  (22) 
0x188b;:0;MOVSD	%XMM5,0x20(%RBX);  (22) 
0x1890;:0;MOV	%ESI,0x14(%R13);  (22) 
0x1894;:0;MOVSD	%XMM4,0x28(%RBX);  (22) 
0x1899;:0;MOV	%ECX,0x18(%R13);  (22) 
0x189d;:0;MOVSD	%XMM3,0x30(%RBX);  (22) 
0x18a2;:0;MOV	%EAX,0x1c(%R13);  (22) 
0x18a6;:0;MOV	0x88(%RSP),%EAX;  (22) 
0x18ad;:0;MOVSD	%XMM2,0x38(%RBX);  (22) 
0x18b2;:0;SUB	$0x1,%EAX;  (22) 
0x18b5;:0;MOV	%EAX,0x20(%R13);  (22) 
0x18b9;:0;MOV	0x8c(%RSP),%EAX;  (22) 
0x18c0;:0;MOVSD	%XMM1,0x40(%RBX);  (22) 
0x18c5;:0;SUB	$0x1,%EAX;  (22) 
0x18c8;:0;MOV	%EAX,0x24(%R13);  (22) 
0x18cc;:0;MOV	0x90(%RSP),%EAX;  (22) 
0x18d3;:0;MOVSD	%XMM0,0x48(%RBX);  (22) 
0x18d8;:0;MOVSD	0x160(%RSP),%XMM0;  (22) 
0x18e1;:0;SUB	$0x1,%EAX;  (22) 
0x18e4;:0;MOV	%EAX,0x28(%R13);  (22) 
0x18e8;:0;LEA	-0x1(%R14),%EAX;  (22) 
0x18ec;:0;MOVSD	%XMM0,0x50(%RBX);  (22) 
0x18f1;:0;MOVSD	0x168(%RSP),%XMM0;  (22) 
0x18fa;:0;MOV	%EAX,0x2c(%R13);  (22) 
0x18fe;:0;MOVSD	%XMM0,0x58(%RBX);  (22) 
0x1903;:0;MOVSD	0x170(%RSP),%XMM0;  (22) 
0x190c;:0;MOV	0x10(%RSP),%EDX;  (22) 
0x1910;:0;SUB	$0x1,%EDX;  (22) 
0x1913;:0;CMPL	$0xe,0x80(%RSP);  (22) 
0x191b;:0;MOV	%EDX,0x30(%R13);  (22) 
0x191f;:0;MOVSD	%XMM0,0x60(%RBX);  (22) 
0x1924;:0;JNE	1942 <main+0x6d2>;  (22) 
0x1926;:0;MOVSD	0x178(%RSP),%XMM0;  (22) 
0x192f;:0;MOV	0x104(%RSP),%EAX;  (22) 
0x1936;:0;SUB	$0x1,%EAX;  (22) 
0x1939;:0;MOV	%EAX,0x34(%R13);  (22) 
0x193d;:0;MOVSD	%XMM0,0x68(%RBX);  (22) 
0x1942;:0;ADDQ	$0x4,0x40(%RSP);  (22) 
0x1948;:0;ADD	$0x38,%R13;  (22) 
0x194c;:0;ADD	$0x70,%RBX;  (22) 
0x1950;:0;ADDQ	$0xe,0x38(%RSP);  (22) 
0x1956;:0;CMP	%R15D,%R12D;  (22) 
0x1959;:0;JNE	14b1 <main+0x241>;  (22) 
0x195f;:0;MOV	0x9c(%RSP),%R13D;  (28) 
0x1967;:0;MOV	0x94(%RSP),%R12D;  (28) 
0x196f;:0;MOV	0x98(%RSP),%R14D;  (28) 
0x1977;:0;MOVSXD	%R13D,%RBX;  (28) 
0x197a;:0;TEST	%R13D,%R13D;  (28) 
0x197d;:0;JS	1993 <main+0x723>;  (28) 
0x197f;:0;MOV	0x20(%RSP),%RDI;  (28) 
0x1984;:0;LEA	0x4(,%RBX,4),%RDX;  (28) 
0x198c;:0;XOR	%ESI,%ESI;  (28) 
0x198e;:0;CALL	1160 <.plt.sec@start+0x50>;  (28) 
0x1993;:0;MOV	0x68(%RSP),%RSI;  (28) 
0x1998;:0;MOV	0x18(%RSP),%RDI;  (28) 
0x199d;:0;XOR	%R8D,%R8D;  (28) 
0x19a0;:0;MOV	0x20(%RSP),%R9;  (28) 
0x19a5;:0;MOV	0x54(%RSP),%R10D;  (28) 
0x19aa;:0;MOV	(%RSI),%ECX;    (24) 
0x19ac;:0;XOR	%EDX,%EDX;    (24) 
0x19ae;:0;TEST	%ECX,%ECX;    (24) 
0x19b0;:0;JLE	19ce <main+0x75e>;    (24) 
0x19b2;:0;NOPW	(%RAX,%RAX,1);    (24) 
0x19b8;:0;MOV	(%RDI,%RDX,4),%EAX;      (30) 
0x19bb;:0;ADD	$0x1,%RDX;      (30) 
0x19bf;:0;ADD	$0x1,%EAX;      (30) 
0x19c2;:0;CLTQ;      (30) 
0x19c4;:0;ADD	%ECX,(%R9,%RAX,4);      (30) 
0x19c8;:0;MOV	(%RSI),%ECX;      (30) 
0x19ca;:0;CMP	%EDX,%ECX;      (30) 
0x19cc;:0;JG	19b8 <main+0x748>;      (30) 
0x19ce;:0;ADD	$0x1,%R8D;    (24) 
0x19d2;:0;ADD	$0x4,%RSI;    (24) 
0x19d6;:0;ADD	$0x38,%RDI;    (24) 
0x19da;:0;CMP	%R8D,%R10D;    (24) 
0x19dd;:0;JG	19aa <main+0x73a>;    (24) 
0x19df;:0;MOV	0x20(%RSP),%RAX;  (28) 
0x19e4;:0;MOVL	$0,(%RAX);  (28) 
0x19ea;:0;TEST	%R13D,%R13D;  (28) 
0x19ed;:0;JLE	21be <main+0xf4e>;  (28) 
0x19f3;:0;MOVSXD	%R14D,%RDI;  (28) 
0x19f6;:0;LEA	0x4(%RAX),%RDX;  (28) 
0x19fa;:0;XOR	%ESI,%ESI;  (28) 
0x19fc;:0;MOV	%RDI,0x10(%RSP);  (28) 
0x1a01;:0;LEA	0x8(%RAX,%RDI,4),%RCX;  (28) 
0x1a06;:0;MOV	%RDX,%RAX;  (28) 
0x1a09;:0;ADD	(%RAX),%ESI;    (26) 
0x1a0b;:0;ADD	$0x4,%RAX;    (26) 
0x1a0f;:0;MOV	%ESI,-0x4(%RAX);    (26) 
0x1a12;:0;CMP	%RCX,%RAX;    (26) 
0x1a15;:0;JNE	1a09 <main+0x799>;    (26) 
0x1a17;:0;MOV	0x20(%RSP),%RAX;  (28) 
0x1a1c;:0;MOV	(%RAX,%RBX,4),%EBX;  (28) 
0x1a1f;:0;SUB	$0x1,%EBX;  (28) 
0x1a22;:0;CMP	%EBX,%R12D;  (28) 
0x1a25;:0;JL	2c7f <main+0x1a0f>;  (28) 
0x1a2b;:0;MOV	0x30(%RSP),%RSI;  (28) 
0x1a30;:0;MOV	0x70(%RSP),%RDI;  (28) 
0x1a35;:0;MOV	0x78(%RSP),%R8;  (28) 
0x1a3a;:0;MOVSXD	-0x4(%RDX),%RAX;    (27) 
0x1a3e;:0;CMP	(%RDX),%EAX;    (27) 
0x1a40;:0;JGE	1a5f <main+0x7ef>;    (27) 
0x1a42;:0;NOPW	(%RAX,%RAX,1);    (27) 
0x1a48;:0;MOVQ	$0,(%R8,%RAX,8);      (29) 
0x1a50;:0;MOVL	$-0x1,(%RDI,%RAX,4);      (29) 
0x1a57;:0;ADD	$0x1,%RAX;      (29) 
0x1a5b;:0;CMP	%EAX,(%RDX);      (29) 
0x1a5d;:0;JG	1a48 <main+0x7d8>;      (29) 
0x1a5f;:0;ADD	$0x4,%RDX;    (27) 
0x1a63;:0;MOVL	$0,(%RSI);    (27) 
0x1a69;:0;ADD	$0x4,%RSI;    (27) 
0x1a6d;:0;CMP	%RCX,%RDX;    (27) 
0x1a70;:0;JNE	1a3a <main+0x7ca>;    (27) 
0x1a72;:0;MOV	0x54(%RSP),%EBX;  (28) 
0x1a76;:0;PXOR	%XMM1,%XMM1;  (28) 
0x1a7a;:0;MOVSD	0x2dc6(%RIP),%XMM0;  (28) 
0x1a82;:0;CVTSI2SD	%EBX,%XMM1;  (28) 
0x1a86;:0;DIVSD	%XMM1,%XMM0;  (28) 
0x1a8a;:0;CALL	11c0 <.plt.sec@start+0xb0>;  (28) 
0x1a8f;:0;TEST	%EBX,%EBX;  (28) 
0x1a91;:0;JLE	2c62 <main+0x19f2>;  (28) 
0x1a97;:0;MOV	0x58(%RSP),%R15;  (28) 
0x1a9c;:0;MOVSD	0x2d84(%RIP),%XMM7;  (28) 
0x1aa4;:0;XOR	%R10D,%R10D;  (28) 
0x1aa7;:0;MOV	%R14D,0x60(%RSP);  (28) 
0x1aac;:0;MOV	0x18(%RSP),%RBX;  (28) 
0x1ab1;:0;MOVSD	0x2d97(%RIP),%XMM2;  (28) 
0x1ab9;:0;MOV	0x20(%RSP),%RCX;  (28) 
0x1abe;:0;MOV	0x70(%RSP),%R8;  (28) 
0x1ac3;:0;MOV	%R15,%RBP;  (28) 
0x1ac6;:0;MOVAPD	%XMM7,%XMM3;  (28) 
0x1aca;:0;MOV	0x78(%RSP),%R11;  (28) 
0x1acf;:0;MOV	0x68(%RSP),%R14;  (28) 
0x1ad4;:0;MOVSD	%XMM7,0x28(%RSP);  (28) 
0x1ada;:0;MOV	%RBX,%R15;  (28) 
0x1add;:0;MOV	(%R14,%R10,4),%EAX;(12) 
0x1ae1;:0;MOV	$0x1,%EDX;(12) 
0x1ae6;:0;TEST	%EAX,%EAX;(12) 
0x1ae8;:0;JLE	1e57 <main+0xbe7>;(12) 
0x1aee;:0;MOV	%R13D,0x58(%RSP);(12) 
0x1af3;:0;MOV	-0x4(%R15,%RDX,4),%EBX;  (32) 
0x1af8;:0;MOVSD	-0x8(%RBP,%RDX,8),%XMM5;  (32) 
0x1afe;:0;MOV	%EBX,0x10(%RSP);  (32) 
0x1b02;:0;MULSD	%XMM3,%XMM5;  (32) 
0x1b06;:0;TEST	%EAX,%EAX;  (32) 
0x1b08;:0;JLE	1e52 <main+0xbe2>;  (32) 
0x1b0e;:0;MOV	0x30(%RSP),%RDI;  (32) 
0x1b13;:0;MOVSXD	%EBX,%RAX;  (32) 
0x1b16;:0;MOV	%RCX,0x38(%RSP);  (32) 
0x1b1b;:0;SAL	$0x2,%RAX;  (32) 
0x1b1f;:0;MOV	%RDX,0x40(%RSP);  (32) 
0x1b24;:0;LEA	(%RCX,%RAX,1),%R13;  (32) 
0x1b28;:0;LEA	0x4(%RCX,%RAX,1),%R12;  (32) 
0x1b2d;:0;ADD	%RDI,%RAX;  (32) 
0x1b30;:0;CMP	%R10D,%EBX;  (32) 
0x1b33;:0;MOV	%RAX,0x18(%RSP);  (32) 
0x1b38;:0;SETEB	(%RSP);  (32) 
0x1b3c;:0;XOR	%R9D,%R9D;  (32) 
0x1b3f;:0;NOP;  (32) 
0x1b40;:0;MOVSD	(%RBP,%R9,8),%XMM4;    (31) 
0x1b47;:0;MOV	(%R15,%R9,4),%ECX;    (31) 
0x1b4b;:0;MULSD	%XMM5,%XMM4;    (31) 
0x1b4f;:0;CMP	%ECX,0x10(%RSP);    (31) 
0x1b53;:0;JNE	1b5f <main+0x8ef>;    (31) 
0x1b55;:0;CMPB	$0,(%RSP);    (31) 
0x1b59;:0;JE	1b5f <main+0x8ef>;    (31) 
0x1b5b;:0;SUBSD	%XMM2,%XMM4;    (31) 
0x1b5f;:0;MOVSXD	(%R13),%RAX;    (31) 
0x1b63;:0;MOV	(%R12),%EDI;    (31) 
0x1b67;:0;CMP	%EDI,%EAX;    (31) 
0x1b69;:0;JGE	208a <main+0xe1a>;    (31) 
0x1b6f;:0;LEA	(%R8,%RAX,4),%RDX;    (31) 
0x1b73;:0;JMP	1b99 <main+0x929>;    (31) 
0x1b75;:0;NOPL	(%RAX);
0x1b78;:0;CMP	$-0x1,%ESI;      (33) 
0x1b7b;:0;JE	1c10 <main+0x9a0>;      (33) 
